HomeTeam,AwayTeam,Date,FTHG,FTAG,FTR,Year,FTR1,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
Bradford,Leeds,29-10-2000,1,1,NH,2000,D,0.545454545,1.363636364,L,L,D,D,L,W,-1.090909091,0.090909091,-0.636363636,14
Liverpool,Everton,29-10-2000,3,1,H,2000,H,1.636363636,1.090909091,W,W,L,W,D,L,0.363636364,-0.272727273,0.272727273,-9
Charlton,Bradford,04-11-2000,2,0,H,2000,H,1.363636364,0.545454545,W,L,D,L,L,D,0,-1.090909091,0.818181818,1
Coventry,Man United,04-11-2000,1,2,NH,2000,A,0.916666667,2,L,L,W,W,W,W,-0.916666667,1.916666667,-0.5,13
Leeds,Liverpool,04-11-2000,4,3,H,2000,H,1.5,1.75,W,D,L,W,W,W,0.166666667,0.5,0,-1
Man City,Leicester,04-11-2000,0,1,NH,2000,A,1.166666667,1.583333333,L,W,W,W,L,L,-0.416666667,0.166666667,0.166666667,10
Middlesbrough,Arsenal,04-11-2000,0,1,NH,2000,A,0.833333333,2,L,L,L,W,W,W,-0.166666667,1,-0.75,10
Newcastle,Ipswich,04-11-2000,2,1,H,2000,H,1.333333333,1.5,L,L,W,W,W,D,0.083333333,0.333333333,-0.416666667,-7
Southampton,Chelsea,04-11-2000,3,2,H,2000,H,0.833333333,1.333333333,L,L,D,W,W,L,-0.666666667,0.666666667,-0.5,10
Tottenham,Sunderland,04-11-2000,2,1,H,2000,H,1.166666667,1.333333333,L,W,L,W,D,W,-0.166666667,-0.166666667,-0.416666667,3
Everton,Aston Villa,05-11-2000,0,1,NH,2000,A,1,1.583333333,L,W,D,W,W,D,-0.416666667,0.416666667,-0.416666667,7
Derby,West Ham,06-11-2000,0,0,NH,2000,D,0.416666667,0.916666667,L,L,L,W,L,D,-1,-0.083333333,-0.583333333,7
Arsenal,Derby,11-11-2000,0,0,NH,2000,D,2,0.416666667,W,W,W,L,L,L,1,-1,1,-14
Aston Villa,Tottenham,11-11-2000,2,0,H,2000,H,1.692307692,1.307692308,W,W,W,W,L,W,0.538461538,-0.076923077,0.307692308,-4
Bradford,Everton,11-11-2000,0,1,NH,2000,A,0.538461538,0.923076923,L,D,L,L,L,W,-1.076923077,-0.461538462,-0.153846154,4
Ipswich,Charlton,11-11-2000,2,0,H,2000,H,1.384615385,1.384615385,L,W,W,W,L,W,0.230769231,0.076923077,0.230769231,0
Leicester,Newcastle,11-11-2000,1,1,NH,2000,D,1.692307692,1.461538462,W,W,L,W,L,L,0.230769231,0.153846154,-0.153846154,-3
Man United,Middlesbrough,11-11-2000,2,1,H,2000,H,2.076923077,0.769230769,W,W,W,L,L,L,1.846153846,-0.230769231,0.692307692,-11
Sunderland,Southampton,11-11-2000,2,2,NH,2000,D,1.230769231,1,L,W,D,W,L,L,-0.230769231,-0.538461538,0.307692308,-8
West Ham,Man City,11-11-2000,4,1,H,2000,H,0.923076923,1.076923077,D,W,L,L,L,W,-0.076923077,-0.461538462,0,-9
Chelsea,Leeds,12-11-2000,1,1,NH,2000,D,1.230769231,1.461538462,L,W,W,D,W,D,0.538461538,0.153846154,0.076923077,2
Liverpool,Coventry,12-11-2000,4,1,H,2000,H,1.615384615,0.846153846,L,W,W,L,L,L,0.384615385,-0.923076923,0.384615385,-10
Charlton,Chelsea,18-11-2000,2,0,H,2000,H,1.384615385,1.230769231,W,L,W,L,W,W,0.076923077,0.538461538,-0.153846154,13
Derby,Bradford,18-11-2000,2,0,H,2000,H,0.5,0.5,D,D,L,L,L,D,-0.857142857,-1.071428571,0.071428571,-1
Everton,Arsenal,18-11-2000,2,0,H,2000,H,1.071428571,2,W,L,L,D,W,W,-0.357142857,0.928571429,-0.428571429,11
Leeds,West Ham,18-11-2000,0,1,NH,2000,A,1.357142857,1.071428571,L,D,W,W,D,W,0.071428571,0.142857143,-0.214285714,-6
Man City,Man United,18-11-2000,0,1,NH,2000,A,1,2.142857143,L,L,L,W,W,W,-0.642857143,1.785714286,-0.642857143,17
Middlesbrough,Leicester,18-11-2000,0,3,NH,2000,A,0.714285714,1.642857143,L,L,L,D,W,W,-0.285714286,0.214285714,-0.5,4
Newcastle,Sunderland,18-11-2000,1,2,NH,2000,A,1.428571429,1.214285714,D,W,L,D,L,W,0.142857143,-0.214285714,-0.071428571,4
Southampton,Aston Villa,18-11-2000,2,0,H,2000,H,1,1.571428571,D,W,L,L,W,W,-0.5,0.357142857,-0.357142857,9
Tottenham,Liverpool,19-11-2000,2,1,H,2000,H,1.214285714,1.714285714,L,W,L,W,L,W,-0.214285714,0.571428571,-0.428571429,6
Coventry,Ipswich,20-11-2000,0,1,NH,2000,A,0.785714286,1.5,L,L,L,W,L,W,-1.071428571,0.357142857,-0.5,-4
Charlton,Sunderland,25-11-2000,0,1,NH,2000,A,1.285714286,1.214285714,L,W,L,D,L,W,-0.071428571,-0.214285714,-0.142857143,11
Coventry,Aston Villa,25-11-2000,1,1,NH,2000,D,0.733333333,1.533333333,L,L,L,D,L,W,-1.066666667,0.333333333,-0.666666667,8
Derby,Man United,25-11-2000,0,3,NH,2000,A,0.666666667,2.2,W,D,D,W,W,W,-0.666666667,1.733333333,-0.666666667,15
Everton,Chelsea,25-11-2000,2,1,H,2000,H,1.2,1.133333333,W,W,L,L,D,L,-0.2,0.333333333,0.133333333,8
Man City,Ipswich,25-11-2000,2,3,NH,2000,A,0.933333333,1.6,L,L,L,W,W,L,-0.666666667,0.4,-0.6,0
Middlesbrough,Bradford,25-11-2000,2,2,NH,2000,D,0.666666667,0.466666667,L,L,L,L,L,L,-0.466666667,-1.133333333,-0.066666667,-5
Southampton,West Ham,25-11-2000,2,3,NH,2000,A,1.133333333,1.2,W,D,W,W,W,D,-0.333333333,0.2,-0.2,6
Tottenham,Leicester,25-11-2000,3,0,H,2000,H,1.333333333,1.733333333,W,L,W,W,D,W,-0.133333333,0.4,-0.066666667,2
Leeds,Arsenal,26-11-2000,1,0,H,2000,H,1.466666667,1.866666667,W,L,D,L,D,W,0.133333333,0.733333333,-0.133333333,1
Newcastle,Liverpool,26-11-2000,2,1,H,2000,H,1.333333333,1.6,L,D,W,L,W,L,0.066666667,0.466666667,-0.333333333,7
Arsenal,Southampton,02-12-2000,1,0,H,2000,H,1.866666667,1.133333333,L,D,W,W,D,W,0.733333333,-0.333333333,0.2,-13
Aston Villa,Newcastle,02-12-2000,1,1,NH,2000,D,1.5,1.4375,D,D,L,W,L,D,0.3125,0.125,0.0625,-5
Bradford,Coventry,02-12-2000,2,1,H,2000,H,0.5,0.75,D,L,L,D,L,L,-1.0625,-1,0.0625,3
Ipswich,Derby,02-12-2000,0,1,NH,2000,A,1.6875,0.625,W,W,W,L,W,D,0.4375,-0.8125,0.4375,2
Leicester,Leeds,02-12-2000,3,1,H,2000,H,1.625,1.375,L,W,D,L,W,L,0.1875,0,0.1875,5
Liverpool,Charlton,02-12-2000,3,0,H,2000,H,1.5,1.3125,L,L,W,L,W,L,0.375,0,0,-14
Man United,Tottenham,02-12-2000,2,0,H,2000,H,2.25,1.4375,W,W,W,W,W,L,1.8125,0.0625,0.375,-9
West Ham,Middlesbrough,02-12-2000,1,0,H,2000,H,1.3125,0.6875,W,W,W,D,L,L,0.25,-0.4375,0.75,-3
Chelsea,Man City,03-12-2000,2,1,H,2000,H,1.0625,0.875,L,L,D,L,L,L,0.25,-0.6875,0.25,-13
Sunderland,Everton,04-12-2000,2,0,H,2000,H,1.4375,1.3125,W,W,D,W,W,W,-0.0625,-0.125,0.0625,-6
Arsenal,Newcastle,09-12-2000,5,0,H,2000,H,1.75,1.4375,L,L,D,W,L,D,0.625,0.125,0,-9
Bradford,Tottenham,09-12-2000,3,3,NH,2000,D,0.647058824,1.352941176,W,D,L,L,W,W,-0.941176471,-0.058823529,-0.294117647,7
Charlton,Man United,09-12-2000,3,3,NH,2000,D,1.235294118,2.294117647,L,L,W,W,W,W,-0.176470588,1.823529412,-0.529411765,17
Chelsea,Derby,09-12-2000,4,1,H,2000,H,1.176470588,0.764705882,W,L,L,W,L,W,0.294117647,-0.705882353,-0.235294118,-11
